Graph
Time (Seconds),x (Meters),y (Meters),z (Meters)
15.950000,0.248461,0.376500,0.004829
16.000000,0.247856,0.377960,0.004833
16.049999,0.247335,0.379274,0.004831
16.099998,0.246776,0.380656,0.004826
16.150000,0.246085,0.382091,0.004833
16.199999,0.245545,0.383410,0.004829
16.250000,0.244978,0.384670,0.004830
16.299999,0.244499,0.386085,0.004820
16.349998,0.243930,0.387436,0.004831
16.400000,0.243243,0.388826,0.004833
16.449999,0.242662,0.390107,0.004828
16.500000,0.242061,0.391517,0.004825
16.549999,0.241447,0.392844,0.004830
16.599998,0.240824,0.394135,0.004828
16.650000,0.240299,0.395420,0.004829
16.699999,0.239627,0.396754,0.004831
16.750000,0.239049,0.398052,0.004829
16.799999,0.238433,0.399343,0.004829
16.849998,0.237796,0.400677,0.004829
16.900000,0.237253,0.401901,0.004826
16.949999,0.236649,0.403170,0.004831
17.000000,0.236026,0.404427,0.004825
17.049999,0.235439,0.405716,0.004825
17.099998,0.234881,0.406960,0.004828
17.150000,0.234293,0.408193,0.004827
17.199999,0.233664,0.409455,0.004832
17.250000,0.233064,0.410748,0.004826
17.299999,0.232464,0.411943,0.004821
17.349998,0.231818,0.413286,0.004831
17.400000,0.231142,0.414573,0.004820
17.449999,0.230454,0.415799,0.004825
17.500000,0.229760,0.416962,0.004812
17.549999,0.229009,0.418378,0.004820
17.599998,0.228391,0.419593,0.004817
17.650000,0.227594,0.420861,0.004827
17.699999,0.226935,0.422132,0.004831
17.750000,0.226279,0.423384,0.004832
17.799999,0.225624,0.424551,0.004826
17.849998,0.224781,0.425916,0.004833
17.900000,0.224076,0.427086,0.004822
17.949999,0.223362,0.428292,0.004831
18.000000,0.222628,0.429518,0.004831
18.049999,0.221893,0.430705,0.004828
18.099998,0.221167,0.431921,0.004832
18.150000,0.220488,0.433115,0.004829
18.199999,0.219488,0.434408,0.004830
18.250000,0.218654,0.435610,0.004829
18.299999,0.217900,0.436812,0.004829
18.349998,0.217162,0.437977,0.004827
18.400000,0.216385,0.439179,0.004832
18.449999,0.215657,0.440329,0.004829
18.500000,0.214783,0.441521,0.004814
18.549999,0.213920,0.442818,0.004833
18.599998,0.213050,0.443970,0.004823
18.650000,0.212258,0.445046,0.004823
18.699999,0.211494,0.446283,0.004831
18.750000,0.210679,0.447536,0.004831
18.799999,0.209939,0.448626,0.004818
18.849998,0.209045,0.449852,0.004823
18.900000,0.208152,0.451045,0.004832
18.949999,0.207183,0.452209,0.004826
19.000000,0.206313,0.453336,0.004826
19.049999,0.205384,0.454491,0.004828
19.099998,0.204480,0.455635,0.004829
19.150000,0.203598,0.456743,0.004822
19.199999,0.202643,0.457878,0.004834
19.250000,0.201787,0.458967,0.004832
19.299999,0.200863,0.460134,0.004829
19.349998,0.199933,0.461247,0.004832
19.400000,0.198974,0.462366,0.004831
19.449999,0.198023,0.463491,0.004828
19.500000,0.197097,0.464592,0.004826
19.549999,0.196075,0.465671,0.004833
19.599998,0.195215,0.466691,0.004832
19.650000,0.194294,0.467791,0.004831
19.699999,0.193411,0.468863,0.004825
19.750000,0.192330,0.469958,0.004819
19.799999,0.191456,0.470995,0.004832
19.849998,0.190434,0.472028,0.004822
19.900000,0.189451,0.473120,0.004832
19.949999,0.188367,0.474188,0.004829
20.000000,0.187405,0.475257,0.004819
20.049999,0.186467,0.476315,0.004830
20.099998,0.185495,0.477355,0.004832
20.150000,0.184469,0.478410,0.004828
20.199999,0.183315,0.479575,0.004834
20.250000,0.182295,0.480579,0.004832
20.299999,0.181353,0.481496,0.004816
20.349998,0.180386,0.482437,0.004813
20.400000,0.179284,0.483550,0.004833
20.449999,0.178318,0.484539,0.004829
20.500000,0.177375,0.485506,0.004824
20.549999,0.176357,0.486603,0.004831
20.599998,0.175416,0.487553,0.004827
20.650000,0.174377,0.488492,0.004819
20.699999,0.173387,0.489460,0.004811
20.750000,0.172365,0.490422,0.004810
20.799999,0.171415,0.491361,0.004810
20.849998,0.170380,0.492374,0.004816
20.900000,0.169379,0.493332,0.004831
20.949999,0.168304,0.494298,0.004831
21.000000,0.167255,0.495251,0.004830
21.049999,0.166011,0.496272,0.004824
21.099998,0.164928,0.497232,0.004824
21.150000,0.163876,0.498135,0.004824
21.199999,0.162862,0.499162,0.004815
21.250000,0.161575,0.500127,0.004833
21.299999,0.160399,0.501021,0.004827
21.349998,0.159287,0.501868,0.004828
21.400000,0.158020,0.502805,0.004831
21.449999,0.156874,0.503738,0.004832
21.500000,0.155906,0.504570,0.004817
21.549999,0.154491,0.505605,0.004832
21.599998,0.153384,0.506426,0.004829
21.650000,0.152224,0.507281,0.004828
21.699999,0.151219,0.508083,0.004823
21.750000,0.150100,0.509027,0.004828
21.799999,0.148922,0.509904,0.004829
21.849998,0.147742,0.510798,0.004830
21.900000,0.146476,0.511671,0.004830
